,Site,Pol_sp,Plant_sp,Links
118,blahamlak,A_mellifera,Taraxacum_officinale,5
119,blahamlak,D_platura,Taraxacum_officinale,0
120,blahamlak,H_hochstetteri,Taraxacum_officinale,1
121,blahamlak,O_atrovirens,Taraxacum_officinale,0
122,blahamlak,O_varia,Taraxacum_officinale,0
123,blahamlak,P_pseudorudis,Taraxacum_officinale,0
124,blahamlak,T_orthodoxus,Taraxacum_officinale,0
125,blahamlak,A_mellifera,Trifolium_sp,6
126,blahamlak,D_platura,Trifolium_sp,1
127,blahamlak,H_hochstetteri,Trifolium_sp,0
128,blahamlak,O_atrovirens,Trifolium_sp,1
129,blahamlak,O_varia,Trifolium_sp,0
130,blahamlak,P_pseudorudis,Trifolium_sp,0
131,blahamlak,T_orthodoxus,Trifolium_sp,0
132,blaheslee,A_mellifera,Alcea_sp,3
133,blaheslee,B_terrestris,Alcea_sp,1
134,blaheslee,D_platura,Alcea_sp,0
135,blaheslee,E_tenax,Alcea_sp,0
136,blaheslee,I_promissorius,Alcea_sp,0
137,blaheslee,L_sordidum,Alcea_sp,2
138,blaheslee,N_producta,Alcea_sp,1
139,blaheslee,O_varia,Alcea_sp,0
140,blaheslee,P_marginata,Alcea_sp,0
141,blaheslee,P_pseudorudis,Alcea_sp,0
142,blaheslee,T_orthodoxus,Alcea_sp,1
143,blaheslee,A_mellifera,Chenopodium_album,0
144,blaheslee,B_terrestris,Chenopodium_album,0
145,blaheslee,D_platura,Chenopodium_album,0
146,blaheslee,E_tenax,Chenopodium_album,1
147,blaheslee,I_promissorius,Chenopodium_album,0
148,blaheslee,L_sordidum,Chenopodium_album,0
149,blaheslee,N_producta,Chenopodium_album,0
150,blaheslee,O_varia,Chenopodium_album,0
151,blaheslee,P_marginata,Chenopodium_album,0
152,blaheslee,P_pseudorudis,Chenopodium_album,0
153,blaheslee,T_orthodoxus,Chenopodium_album,0
154,blaheslee,A_mellifera,Cirsium_vulgare,2
155,blaheslee,B_terrestris,Cirsium_vulgare,0
156,blaheslee,D_platura,Cirsium_vulgare,0
157,blaheslee,E_tenax,Cirsium_vulgare,0
158,blaheslee,I_promissorius,Cirsium_vulgare,1
159,blaheslee,L_sordidum,Cirsium_vulgare,0
160,blaheslee,N_producta,Cirsium_vulgare,0
161,blaheslee,O_varia,Cirsium_vulgare,1
162,blaheslee,P_marginata,Cirsium_vulgare,0
163,blaheslee,P_pseudorudis,Cirsium_vulgare,0
164,blaheslee,T_orthodoxus,Cirsium_vulgare,1
165,blaheslee,A_mellifera,Cordyline_sp,0
166,blaheslee,B_terrestris,Cordyline_sp,0
167,blaheslee,D_platura,Cordyline_sp,0
168,blaheslee,E_tenax,Cordyline_sp,1
169,blaheslee,I_promissorius,Cordyline_sp,0
170,blaheslee,L_sordidum,Cordyline_sp,0
171,blaheslee,N_producta,Cordyline_sp,1
172,blaheslee,O_varia,Cordyline_sp,0
173,blaheslee,P_marginata,Cordyline_sp,0
174,blaheslee,P_pseudorudis,Cordyline_sp,0
175,blaheslee,T_orthodoxus,Cordyline_sp,0
176,blaheslee,A_mellifera,Daucus_carota,0
177,blaheslee,B_terrestris,Daucus_carota,0
178,blaheslee,D_platura,Daucus_carota,0
179,blaheslee,E_tenax,Daucus_carota,0
180,blaheslee,I_promissorius,Daucus_carota,0
181,blaheslee,L_sordidum,Daucus_carota,0
182,blaheslee,N_producta,Daucus_carota,0
183,blaheslee,O_varia,Daucus_carota,0
184,blaheslee,P_marginata,Daucus_carota,1
185,blaheslee,P_pseudorudis,Daucus_carota,0
186,blaheslee,T_orthodoxus,Daucus_carota,0
187,blaheslee,A_mellifera,Eucalyptus_globulus,3
188,blaheslee,B_terrestris,Eucalyptus_globulus,1
189,blaheslee,D_platura,Eucalyptus_globulus,1
190,blaheslee,E_tenax,Eucalyptus_globulus,0
191,blaheslee,I_promissorius,Eucalyptus_globulus,0
192,blaheslee,L_sordidum,Eucalyptus_globulus,0
193,blaheslee,N_producta,Eucalyptus_globulus,0
194,blaheslee,O_varia,Eucalyptus_globulus,0
195,blaheslee,P_marginata,Eucalyptus_globulus,0
196,blaheslee,P_pseudorudis,Eucalyptus_globulus,0
197,blaheslee,T_orthodoxus,Eucalyptus_globulus,0
198,blaheslee,A_mellifera,Eucalyptus_nitens,3
199,blaheslee,B_terrestris,Eucalyptus_nitens,1
200,blaheslee,D_platura,Eucalyptus_nitens,1
201,blaheslee,E_tenax,Eucalyptus_nitens,1
202,blaheslee,I_promissorius,Eucalyptus_nitens,0
203,blaheslee,L_sordidum,Eucalyptus_nitens,0
204,blaheslee,N_producta,Eucalyptus_nitens,0
205,blaheslee,O_varia,Eucalyptus_nitens,0
206,blaheslee,P_marginata,Eucalyptus_nitens,0
207,blaheslee,P_pseudorudis,Eucalyptus_nitens,0
208,blaheslee,T_orthodoxus,Eucalyptus_nitens,0
209,blaheslee,A_mellifera,Lolium_sp,13
210,blaheslee,B_terrestris,Lolium_sp,0
211,blaheslee,D_platura,Lolium_sp,0
212,blaheslee,E_tenax,Lolium_sp,0
213,blaheslee,I_promissorius,Lolium_sp,2
214,blaheslee,L_sordidum,Lolium_sp,4
215,blaheslee,N_producta,Lolium_sp,1
216,blaheslee,O_varia,Lolium_sp,0
217,blaheslee,P_marginata,Lolium_sp,0
218,blaheslee,P_pseudorudis,Lolium_sp,1
219,blaheslee,T_orthodoxus,Lolium_sp,1
220,blaheslee,A_mellifera,Malva_spp,0
221,blaheslee,B_terrestris,Malva_spp,0
222,blaheslee,D_platura,Malva_spp,1
223,blaheslee,E_tenax,Malva_spp,0
224,blaheslee,I_promissorius,Malva_spp,0
225,blaheslee,L_sordidum,Malva_spp,1
226,blaheslee,N_producta,Malva_spp,0
227,blaheslee,O_varia,Malva_spp,0
228,blaheslee,P_marginata,Malva_spp,0
229,blaheslee,P_pseudorudis,Malva_spp,0
230,blaheslee,T_orthodoxus,Malva_spp,0
231,blaheslee,A_mellifera,Raphanus_sp,1
232,blaheslee,B_terrestris,Raphanus_sp,0
233,blaheslee,D_platura,Raphanus_sp,0
234,blaheslee,E_tenax,Raphanus_sp,0
235,blaheslee,I_promissorius,Raphanus_sp,0
236,blaheslee,L_sordidum,Raphanus_sp,1
237,blaheslee,N_producta,Raphanus_sp,1
238,blaheslee,O_varia,Raphanus_sp,0
239,blaheslee,P_marginata,Raphanus_sp,0
240,blaheslee,P_pseudorudis,Raphanus_sp,0
241,blaheslee,T_orthodoxus,Raphanus_sp,0
242,blaheslee,A_mellifera,Taraxacum_officinale,10
243,blaheslee,B_terrestris,Taraxacum_officinale,1
244,blaheslee,D_platura,Taraxacum_officinale,0
245,blaheslee,E_tenax,Taraxacum_officinale,0
246,blaheslee,I_promissorius,Taraxacum_officinale,1
247,blaheslee,L_sordidum,Taraxacum_officinale,3
248,blaheslee,N_producta,Taraxacum_officinale,2
249,blaheslee,O_varia,Taraxacum_officinale,1
250,blaheslee,P_marginata,Taraxacum_officinale,0
251,blaheslee,P_pseudorudis,Taraxacum_officinale,0
252,blaheslee,T_orthodoxus,Taraxacum_officinale,0
253,blaheslee,A_mellifera,Trifolium_sp,13
254,blaheslee,B_terrestris,Trifolium_sp,1
255,blaheslee,D_platura,Trifolium_sp,2
256,blaheslee,E_tenax,Trifolium_sp,0
257,blaheslee,I_promissorius,Trifolium_sp,3
258,blaheslee,L_sordidum,Trifolium_sp,3
259,blaheslee,N_producta,Trifolium_sp,2
260,blaheslee,O_varia,Trifolium_sp,0
261,blaheslee,P_marginata,Trifolium_sp,0
262,blaheslee,P_pseudorudis,Trifolium_sp,2
263,blaheslee,T_orthodoxus,Trifolium_sp,0
264,blajergre,A_mellifera,Chenopodium_album,0
265,blajergre,B_terrestris,Chenopodium_album,0
266,blajergre,P_marginata,Chenopodium_album,1
267,blajergre,A_mellifera,Eucalyptus_nitens,1
268,blajergre,B_terrestris,Eucalyptus_nitens,0
269,blajergre,P_marginata,Eucalyptus_nitens,0
270,blajergre,A_mellifera,Lolium_sp,0
271,blajergre,B_terrestris,Lolium_sp,1
272,blajergre,P_marginata,Lolium_sp,0
273,blajervos,A_mellifera,Cirsium_vulgare,0
274,blajervos,M_novae_zelandiae,Cirsium_vulgare,0
275,blajervos,O_atrovirens,Cirsium_vulgare,1
276,blajervos,A_mellifera,Cordyline_sp,0
277,blajervos,M_novae_zelandiae,Cordyline_sp,1
278,blajervos,O_atrovirens,Cordyline_sp,0
279,blajervos,A_mellifera,Eucalyptus_nitens,1
280,blajervos,M_novae_zelandiae,Eucalyptus_nitens,0
281,blajervos,O_atrovirens,Eucalyptus_nitens,0
282,blajervos,A_mellifera,Lolium_sp,2
283,blajervos,M_novae_zelandiae,Lolium_sp,1
284,blajervos,O_atrovirens,Lolium_sp,1
285,blajervos,A_mellifera,Taraxacum_officinale,1
286,blajervos,M_novae_zelandiae,Taraxacum_officinale,1
287,blajervos,O_atrovirens,Taraxacum_officinale,0
288,blajervos,A_mellifera,Trifolium_sp,1
289,blajervos,M_novae_zelandiae,Trifolium_sp,0
290,blajervos,O_atrovirens,Trifolium_sp,0
291,blastelee,A_mellifera,Alcea_sp,0
292,blastelee,L_sordidum,Alcea_sp,1
293,blastelee,O_atrovirens,Alcea_sp,0
294,blastelee,A_mellifera,Cirsium_vulgare,1
295,blastelee,L_sordidum,Cirsium_vulgare,1
296,blastelee,O_atrovirens,Cirsium_vulgare,0
297,blastelee,A_mellifera,Daucus_carota,2
298,blastelee,L_sordidum,Daucus_carota,2
299,blastelee,O_atrovirens,Daucus_carota,1
300,blastelee,A_mellifera,Lolium_sp,2
301,blastelee,L_sordidum,Lolium_sp,2
302,blastelee,O_atrovirens,Lolium_sp,0
303,blastelee,A_mellifera,Taraxacum_officinale,1
304,blastelee,L_sordidum,Taraxacum_officinale,0
305,blastelee,O_atrovirens,Taraxacum_officinale,0
306,blastelee,A_mellifera,Trifolium_sp,1
307,blastelee,L_sordidum,Trifolium_sp,0
308,blastelee,O_atrovirens,Trifolium_sp,1
309,crobirlee,A_mellifera,alnus_serrulate,0
310,crobirlee,B_terrestris,alnus_serrulate,0
311,crobirlee,D_platura,alnus_serrulate,0
312,crobirlee,L_sordidum,alnus_serrulate,0
313,crobirlee,M_novae_zelandiae,alnus_serrulate,1
314,crobirlee,P_marginata,alnus_serrulate,0
315,crobirlee,A_mellifera,Chenopodium_album,1
316,crobirlee,B_terrestris,Chenopodium_album,0
317,crobirlee,D_platura,Chenopodium_album,0
318,crobirlee,L_sordidum,Chenopodium_album,0
319,crobirlee,M_novae_zelandiae,Chenopodium_album,0
320,crobirlee,P_marginata,Chenopodium_album,0
321,crobirlee,A_mellifera,Cirsium_vulgare,5
322,crobirlee,B_terrestris,Cirsium_vulgare,0
323,crobirlee,D_platura,Cirsium_vulgare,0
324,crobirlee,L_sordidum,Cirsium_vulgare,1
325,crobirlee,M_novae_zelandiae,Cirsium_vulgare,0
326,crobirlee,P_marginata,Cirsium_vulgare,0
327,crobirlee,A_mellifera,Cordyline_sp,0
328,crobirlee,B_terrestris,Cordyline_sp,1
329,crobirlee,D_platura,Cordyline_sp,0
330,crobirlee,L_sordidum,Cordyline_sp,0
331,crobirlee,M_novae_zelandiae,Cordyline_sp,0
