"","Site","Pol_sp","Plant_sp","Links"
"127",2,"H.hochstetteri","Trifolium_sp",0
"128",2,"O.atrovirens","Trifolium_sp",1
"129",2,"O.varia","Trifolium_sp",0
"130",2,"P.pseudorudis","Trifolium_sp",0
"131",2,"T.orthodoxus","Trifolium_sp",0
"132",3,"A.mellifera","Alcea_sp",3
"133",3,"B.terrestris","Alcea_sp",1
"134",3,"D.platura","Alcea_sp",0
"135",3,"E.tenax","Alcea_sp",0
"136",3,"I.promissorius","Alcea_sp",0
"137",3,"L.sordidum","Alcea_sp",2
"138",3,"N.producta","Alcea_sp",1
"139",3,"O.varia","Alcea_sp",0
"140",3,"P.marginata","Alcea_sp",0
"141",3,"P.pseudorudis","Alcea_sp",0
"142",3,"T.orthodoxus","Alcea_sp",1
"143",3,"A.mellifera","Chenopodium_album",0
"144",3,"B.terrestris","Chenopodium_album",0
"145",3,"D.platura","Chenopodium_album",0
"146",3,"E.tenax","Chenopodium_album",1
"147",3,"I.promissorius","Chenopodium_album",0
"148",3,"L.sordidum","Chenopodium_album",0
"149",3,"N.producta","Chenopodium_album",0
"150",3,"O.varia","Chenopodium_album",0
"151",3,"P.marginata","Chenopodium_album",0
"152",3,"P.pseudorudis","Chenopodium_album",0
"153",3,"T.orthodoxus","Chenopodium_album",0
"154",3,"A.mellifera","Cirsium_vulgare",2
"155",3,"B.terrestris","Cirsium_vulgare",0
"156",3,"D.platura","Cirsium_vulgare",0
"157",3,"E.tenax","Cirsium_vulgare",0
"158",3,"I.promissorius","Cirsium_vulgare",1
"159",3,"L.sordidum","Cirsium_vulgare",0
"160",3,"N.producta","Cirsium_vulgare",0
"161",3,"O.varia","Cirsium_vulgare",1
"162",3,"P.marginata","Cirsium_vulgare",0
"163",3,"P.pseudorudis","Cirsium_vulgare",0
"164",3,"T.orthodoxus","Cirsium_vulgare",1
"165",3,"A.mellifera","Cordyline_sp",0
"166",3,"B.terrestris","Cordyline_sp",0
"167",3,"D.platura","Cordyline_sp",0
"168",3,"E.tenax","Cordyline_sp",1
"169",3,"I.promissorius","Cordyline_sp",0
"170",3,"L.sordidum","Cordyline_sp",0
"171",3,"N.producta","Cordyline_sp",1
"172",3,"O.varia","Cordyline_sp",0
"173",3,"P.marginata","Cordyline_sp",0
"174",3,"P.pseudorudis","Cordyline_sp",0
"175",3,"T.orthodoxus","Cordyline_sp",0
"176",3,"A.mellifera","Daucus_carota",0
"177",3,"B.terrestris","Daucus_carota",0
"178",3,"D.platura","Daucus_carota",0
"179",3,"E.tenax","Daucus_carota",0
"180",3,"I.promissorius","Daucus_carota",0
"181",3,"L.sordidum","Daucus_carota",0
"182",3,"N.producta","Daucus_carota",0
"183",3,"O.varia","Daucus_carota",0
"184",3,"P.marginata","Daucus_carota",1
"185",3,"P.pseudorudis","Daucus_carota",0
"186",3,"T.orthodoxus","Daucus_carota",0
"187",3,"A.mellifera","Eucalyptus_globulus",3
"188",3,"B.terrestris","Eucalyptus_globulus",1
"189",3,"D.platura","Eucalyptus_globulus",1
"190",3,"E.tenax","Eucalyptus_globulus",0
"191",3,"I.promissorius","Eucalyptus_globulus",0
"192",3,"L.sordidum","Eucalyptus_globulus",0
"193",3,"N.producta","Eucalyptus_globulus",0
"194",3,"O.varia","Eucalyptus_globulus",0
"195",3,"P.marginata","Eucalyptus_globulus",0
"196",3,"P.pseudorudis","Eucalyptus_globulus",0
"197",3,"T.orthodoxus","Eucalyptus_globulus",0
"198",3,"A.mellifera","Eucalyptus_nitens",3
"199",3,"B.terrestris","Eucalyptus_nitens",1
"200",3,"D.platura","Eucalyptus_nitens",1
"201",3,"E.tenax","Eucalyptus_nitens",1
"202",3,"I.promissorius","Eucalyptus_nitens",0
"203",3,"L.sordidum","Eucalyptus_nitens",0
"204",3,"N.producta","Eucalyptus_nitens",0
"205",3,"O.varia","Eucalyptus_nitens",0
"206",3,"P.marginata","Eucalyptus_nitens",0
"207",3,"P.pseudorudis","Eucalyptus_nitens",0
"208",3,"T.orthodoxus","Eucalyptus_nitens",0
"209",3,"A.mellifera","Lolium_sp",13
"210",3,"B.terrestris","Lolium_sp",0
"211",3,"D.platura","Lolium_sp",0
"212",3,"E.tenax","Lolium_sp",0
"213",3,"I.promissorius","Lolium_sp",2
"214",3,"L.sordidum","Lolium_sp",4
"215",3,"N.producta","Lolium_sp",1
"216",3,"O.varia","Lolium_sp",0
"217",3,"P.marginata","Lolium_sp",0
"218",3,"P.pseudorudis","Lolium_sp",1
"219",3,"T.orthodoxus","Lolium_sp",1
"220",3,"A.mellifera","Malva_spp",0
"221",3,"B.terrestris","Malva_spp",0
"222",3,"D.platura","Malva_spp",1
"223",3,"E.tenax","Malva_spp",0
"224",3,"I.promissorius","Malva_spp",0
"225",3,"L.sordidum","Malva_spp",1
"226",3,"N.producta","Malva_spp",0
"227",3,"O.varia","Malva_spp",0
"228",3,"P.marginata","Malva_spp",0
"229",3,"P.pseudorudis","Malva_spp",0
"230",3,"T.orthodoxus","Malva_spp",0
"231",3,"A.mellifera","Raphanus_sp",1
"232",3,"B.terrestris","Raphanus_sp",0
"233",3,"D.platura","Raphanus_sp",0
"234",3,"E.tenax","Raphanus_sp",0
"235",3,"I.promissorius","Raphanus_sp",0
